time,jaccard_useful,jaccard_useless,model_name,test,env,batch,underlying_model,model_class,finish_time,jaccard,precision,recall,f1,completeness
0.0,0.0,0.0,extra_trees_auto_max_depth_7,hc2,laptop,False,Extra Trees,Boruta Extra Trees,1587970518,0.5142857142857142,1.0,0.5142857142857142,0.6792452830188679,0.5007977294123227
0.49742674827575684,0.0,0.0,extra_trees_auto_max_depth_7,hc2,laptop,False,Extra Trees,Boruta Extra Trees,1587970518,0.5142857142857142,1.0,0.5142857142857142,0.6792452830188679,0.5007977294123227
1.0540344715118408,0.0,0.0,extra_trees_auto_max_depth_7,hc2,laptop,False,Extra Trees,Boruta Extra Trees,1587970518,0.5142857142857142,1.0,0.5142857142857142,0.6792452830188679,0.5007977294123227
1.5572335720062256,0.0,0.0,extra_trees_auto_max_depth_7,hc2,laptop,False,Extra Trees,Boruta Extra Trees,1587970518,0.5142857142857142,1.0,0.5142857142857142,0.6792452830188679,0.5007977294123227
2.056661605834961,0.0,0.0,extra_trees_auto_max_depth_7,hc2,laptop,False,Extra Trees,Boruta Extra Trees,1587970518,0.5142857142857142,1.0,0.5142857142857142,0.6792452830188679,0.5007977294123227
2.546011209487915,0.0,0.0,extra_trees_auto_max_depth_7,hc2,laptop,False,Extra Trees,Boruta Extra Trees,1587970518,0.5142857142857142,1.0,0.5142857142857142,0.6792452830188679,0.5007977294123227
3.031891107559204,0.0,0.0,extra_trees_auto_max_depth_7,hc2,laptop,False,Extra Trees,Boruta Extra Trees,1587970518,0.5142857142857142,1.0,0.5142857142857142,0.6792452830188679,0.5007977294123227
3.5240402221679688,0.0,0.0,extra_trees_auto_max_depth_7,hc2,laptop,False,Extra Trees,Boruta Extra Trees,1587970518,0.5142857142857142,1.0,0.5142857142857142,0.6792452830188679,0.5007977294123227
4.0154709815979,0.0,0.0,extra_trees_auto_max_depth_7,hc2,laptop,False,Extra Trees,Boruta Extra Trees,1587970518,0.5142857142857142,1.0,0.5142857142857142,0.6792452830188679,0.5007977294123227
4.49296236038208,0.0,0.0,extra_trees_auto_max_depth_7,hc2,laptop,False,Extra Trees,Boruta Extra Trees,1587970518,0.5142857142857142,1.0,0.5142857142857142,0.6792452830188679,0.5007977294123227
4.978762626647949,0.0,0.0,extra_trees_auto_max_depth_7,hc2,laptop,False,Extra Trees,Boruta Extra Trees,1587970518,0.5142857142857142,1.0,0.5142857142857142,0.6792452830188679,0.5007977294123227
